IP地址,数据中心,地区,城市,网络延迟
104.16.113.15,SJC,North America,San Jose,169 ms
104.18.187.141,SJC,North America,San Jose,169 ms
104.17.101.166,SJC,North America,San Jose,169 ms
104.21.238.152,SJC,North America,San Jose,169 ms
104.18.127.32,SJC,North America,San Jose,170 ms
104.17.178.49,SJC,North America,San Jose,170 ms
104.18.175.98,SJC,North America,San Jose,170 ms
104.17.150.9,SJC,North America,San Jose,170 ms
104.18.133.65,SJC,North America,San Jose,171 ms
172.67.106.74,LAX,North America,Los Angeles,171 ms
104.17.156.206,SJC,North America,San Jose,171 ms
104.21.237.95,SJC,North America,San Jose,171 ms
104.19.219.247,SJC,North America,San Jose,171 ms
104.16.116.150,SJC,North America,San Jose,171 ms
104.17.111.190,SJC,North America,San Jose,171 ms
104.16.89.187,SJC,North America,San Jose,171 ms
104.16.151.166,SJC,North America,San Jose,171 ms
162.159.36.85,LAX,North America,Los Angeles,172 ms
172.67.121.211,LAX,North America,Los Angeles,172 ms
104.16.78.212,SJC,North America,San Jose,172 ms
172.64.79.188,SJC,North America,San Jose,172 ms
104.18.150.119,SJC,North America,San Jose,172 ms
104.18.155.146,SJC,North America,San Jose,172 ms
104.18.185.237,SJC,North America,San Jose,172 ms
162.159.33.164,LAX,North America,Los Angeles,172 ms
104.16.150.42,SJC,North America,San Jose,172 ms
104.18.196.41,SJC,North America,San Jose,172 ms
104.16.118.120,SJC,North America,San Jose,172 ms
104.18.130.155,SJC,North America,San Jose,173 ms
104.16.54.51,SJC,North America,San Jose,173 ms
104.17.106.85,SJC,North America,San Jose,173 ms
104.19.23.119,LAX,North America,Los Angeles,173 ms
104.19.212.49,SJC,North America,San Jose,173 ms
172.64.91.102,LAX,North America,Los Angeles,173 ms
104.16.90.42,SJC,North America,San Jose,173 ms
104.18.134.251,SJC,North America,San Jose,173 ms
104.18.2.12,LAX,North America,Los Angeles,173 ms
104.17.145.239,SJC,North America,San Jose,174 ms
104.16.157.98,SJC,North America,San Jose,174 ms
104.18.184.31,SJC,North America,San Jose,174 ms
104.24.42.167,LAX,North America,Los Angeles,174 ms
104.17.81.204,SJC,North America,San Jose,174 ms
104.19.83.252,LAX,North America,Los Angeles,174 ms
104.21.229.67,SJC,North America,San Jose,174 ms
104.25.66.179,LAX,North America,Los Angeles,174 ms
104.18.157.118,SJC,North America,San Jose,174 ms
104.20.34.33,LAX,North America,Los Angeles,174 ms
104.25.38.232,LAX,North America,Los Angeles,174 ms
104.17.87.168,SJC,North America,San Jose,174 ms
104.18.202.130,SJC,North America,San Jose,174 ms
104.18.215.145,SJC,North America,San Jose,174 ms
104.19.193.95,LAX,North America,Los Angeles,174 ms
104.24.1.85,LAX,North America,Los Angeles,174 ms
162.159.196.106,LAX,North America,Los Angeles,174 ms
104.25.193.117,LAX,North America,Los Angeles,175 ms
104.21.231.134,SJC,North America,San Jose,175 ms
104.21.230.84,SJC,North America,San Jose,175 ms
104.25.98.219,LAX,North America,Los Angeles,175 ms
104.19.54.166,LAX,North America,Los Angeles,175 ms
162.159.141.36,LAX,North America,Los Angeles,175 ms
104.27.24.41,LAX,North America,Los Angeles,175 ms
104.18.131.28,SJC,North America,San Jose,175 ms
104.18.119.173,SJC,North America,San Jose,175 ms
104.19.116.69,LAX,North America,Los Angeles,175 ms
104.17.131.234,SJC,North America,San Jose,175 ms
104.17.64.49,SJC,North America,San Jose,175 ms
172.64.231.123,LAX,North America,Los Angeles,176 ms
104.25.195.34,LAX,North America,Los Angeles,176 ms
104.18.168.82,SJC,North America,San Jose,176 ms
104.16.115.24,SJC,North America,San Jose,176 ms
162.159.245.223,LAX,North America,Los Angeles,176 ms
104.17.93.54,SJC,North America,San Jose,176 ms
104.16.62.109,SJC,North America,San Jose,176 ms
162.159.45.169,LAX,North America,Los Angeles,176 ms
104.17.181.30,SJC,North America,San Jose,176 ms
104.18.114.124,SJC,North America,San Jose,176 ms
104.16.148.168,SJC,North America,San Jose,176 ms
104.18.111.93,SJC,North America,San Jose,176 ms
104.24.62.112,LAX,North America,Los Angeles,177 ms
104.16.94.149,SJC,North America,San Jose,177 ms
104.27.11.249,LAX,North America,Los Angeles,177 ms
104.18.80.241,SJC,North America,San Jose,177 ms
104.19.147.123,SJC,North America,San Jose,177 ms
104.27.125.95,LAX,North America,Los Angeles,177 ms
104.19.98.155,LAX,North America,Los Angeles,177 ms
104.17.92.215,SJC,North America,San Jose,177 ms
104.19.197.229,LAX,North America,Los Angeles,177 ms
104.17.146.60,SJC,North America,San Jose,177 ms
104.25.15.10,LAX,North America,Los Angeles,177 ms
104.17.116.143,SJC,North America,San Jose,177 ms
104.27.79.33,LAX,North America,Los Angeles,177 ms
104.25.222.219,LAX,North America,Los Angeles,177 ms
104.27.49.224,LAX,North America,Los Angeles,177 ms
104.18.154.89,SJC,North America,San Jose,177 ms
104.24.8.12,LAX,North America,Los Angeles,177 ms
104.27.122.60,LAX,North America,Los Angeles,177 ms
104.25.40.58,LAX,North America,Los Angeles,177 ms
104.24.50.182,LAX,North America,Los Angeles,177 ms
104.19.165.13,SJC,North America,San Jose,177 ms
104.16.156.82,SJC,North America,San Jose,177 ms
104.17.53.57,SJC,North America,San Jose,177 ms
104.17.182.33,SJC,North America,San Jose,178 ms
104.17.128.175,SJC,North America,San Jose,178 ms
104.23.108.35,LAX,North America,Los Angeles,178 ms
104.25.54.207,LAX,North America,Los Angeles,178 ms
104.16.168.208,SJC,North America,San Jose,178 ms
104.19.25.62,LAX,North America,Los Angeles,178 ms
104.20.52.130,LAX,North America,Los Angeles,178 ms
104.19.123.114,LAX,North America,Los Angeles,178 ms
104.18.183.214,SJC,North America,San Jose,178 ms
104.19.153.145,SJC,North America,San Jose,178 ms
104.19.20.230,LAX,North America,Los Angeles,178 ms
162.159.60.168,LAX,North America,Los Angeles,178 ms
104.25.30.234,LAX,North America,Los Angeles,178 ms
104.18.214.113,SJC,North America,San Jose,178 ms
104.18.107.39,SJC,North America,San Jose,178 ms
104.19.17.96,LAX,North America,Los Angeles,178 ms
104.25.44.27,LAX,North America,Los Angeles,178 ms
104.24.52.210,LAX,North America,Los Angeles,178 ms
104.25.203.16,LAX,North America,Los Angeles,178 ms
104.25.130.59,LAX,North America,Los Angeles,179 ms
104.17.151.244,SJC,North America,San Jose,179 ms
104.16.103.102,SJC,North America,San Jose,179 ms
104.17.109.105,SJC,North America,San Jose,179 ms
104.19.36.2,LAX,North America,Los Angeles,179 ms
104.18.166.164,SJC,North America,San Jose,179 ms
104.25.121.50,LAX,North America,Los Angeles,179 ms
104.25.234.187,LAX,North America,Los Angeles,179 ms
104.18.98.150,SJC,North America,San Jose,179 ms
104.27.53.134,LAX,North America,Los Angeles,179 ms
198.41.215.101,LAX,North America,Los Angeles,179 ms
104.25.212.161,LAX,North America,Los Angeles,179 ms
104.25.61.122,LAX,North America,Los Angeles,179 ms
104.25.27.86,LAX,North America,Los Angeles,179 ms
104.19.157.191,SJC,North America,San Jose,179 ms
104.25.53.187,LAX,North America,Los Angeles,179 ms
104.19.100.235,LAX,North America,Los Angeles,179 ms
104.16.105.138,SJC,North America,San Jose,179 ms
104.27.107.14,LAX,North America,Los Angeles,179 ms
162.159.19.34,LAX,North America,Los Angeles,179 ms
104.19.118.30,LAX,North America,Los Angeles,179 ms
104.17.167.99,SJC,North America,San Jose,180 ms
104.16.143.242,SJC,North America,San Jose,180 ms
104.18.128.46,SJC,North America,San Jose,180 ms
104.25.126.65,LAX,North America,Los Angeles,180 ms
104.19.6.194,LAX,North America,Los Angeles,180 ms
104.18.0.192,LAX,North America,Los Angeles,180 ms
104.19.111.156,LAX,North America,Los Angeles,180 ms
104.23.114.1,LAX,North America,Los Angeles,180 ms
104.25.110.239,LAX,North America,Los Angeles,180 ms
104.24.87.245,LAX,North America,Los Angeles,180 ms
104.20.35.209,LAX,North America,Los Angeles,180 ms
104.24.228.193,LAX,North America,Los Angeles,180 ms
104.18.45.71,LAX,North America,Los Angeles,180 ms
104.27.90.169,LAX,North America,Los Angeles,180 ms
172.66.1.26,LAX,North America,Los Angeles,180 ms
104.16.173.83,SJC,North America,San Jose,180 ms
104.23.104.115,LAX,North America,Los Angeles,180 ms
104.18.70.34,SJC,North America,San Jose,180 ms
104.19.86.142,LAX,North America,Los Angeles,180 ms
172.67.65.125,HKG,Asia Pacific,Hong Kong,180 ms
104.27.105.18,LAX,North America,Los Angeles,180 ms
104.25.153.35,LAX,North America,Los Angeles,180 ms
104.20.63.107,LAX,North America,Los Angeles,180 ms
108.162.195.28,LAX,North America,Los Angeles,180 ms
104.27.25.202,LAX,North America,Los Angeles,180 ms
104.19.198.217,LAX,North America,Los Angeles,180 ms
104.24.221.212,LAX,North America,Los Angeles,180 ms
172.67.124.219,LAX,North America,Los Angeles,180 ms
104.18.44.179,LAX,North America,Los Angeles,180 ms
104.25.196.245,LAX,North America,Los Angeles,180 ms
104.25.117.48,LAX,North America,Los Angeles,180 ms
104.18.123.215,SJC,North America,San Jose,180 ms
104.19.96.97,LAX,North America,Los Angeles,180 ms
104.18.153.1,SJC,North America,San Jose,180 ms
104.25.198.21,LAX,North America,Los Angeles,180 ms
104.24.129.237,LAX,North America,Los Angeles,180 ms
104.25.46.184,LAX,North America,Los Angeles,180 ms
172.67.79.157,HKG,Asia Pacific,Hong Kong,180 ms
104.18.96.18,SJC,North America,San Jose,180 ms
104.25.34.45,LAX,North America,Los Angeles,180 ms
104.17.125.91,SJC,North America,San Jose,180 ms
104.25.230.78,LAX,North America,Los Angeles,180 ms
104.24.89.140,LAX,North America,Los Angeles,181 ms
104.25.23.45,LAX,North America,Los Angeles,181 ms
104.19.44.86,LAX,North America,Los Angeles,181 ms
104.19.45.245,LAX,North America,Los Angeles,181 ms
104.16.70.77,SJC,North America,San Jose,181 ms
172.64.66.36,LAX,North America,Los Angeles,181 ms
172.64.92.228,LAX,North America,Los Angeles,181 ms
104.25.211.152,LAX,North America,Los Angeles,181 ms
104.25.191.177,LAX,North America,Los Angeles,181 ms
104.27.85.25,LAX,North America,Los Angeles,181 ms
104.18.22.79,LAX,North America,Los Angeles,181 ms
104.27.71.54,LAX,North America,Los Angeles,181 ms
104.19.113.30,LAX,North America,Los Angeles,181 ms
104.27.37.8,LAX,North America,Los Angeles,181 ms
172.64.145.36,LAX,North America,Los Angeles,181 ms
104.19.55.193,LAX,North America,Los Angeles,181 ms
104.25.165.110,LAX,North America,Los Angeles,181 ms
104.27.28.76,LAX,North America,Los Angeles,181 ms
104.20.61.40,LAX,North America,Los Angeles,181 ms
104.19.89.15,LAX,North America,Los Angeles,181 ms
162.159.136.249,LAX,North America,Los Angeles,181 ms
104.25.225.70,LAX,North America,Los Angeles,181 ms
162.159.0.74,LAX,North America,Los Angeles,181 ms
104.24.11.85,LAX,North America,Los Angeles,181 ms
104.18.67.186,SJC,North America,San Jose,181 ms
104.25.170.110,LAX,North America,Los Angeles,181 ms
104.25.186.230,LAX,North America,Los Angeles,181 ms
104.25.157.33,LAX,North America,Los Angeles,181 ms
104.25.125.67,LAX,North America,Los Angeles,181 ms
104.18.161.183,SJC,North America,San Jose,181 ms
104.16.61.174,SJC,North America,San Jose,181 ms
172.67.90.107,LAX,North America,Los Angeles,181 ms
172.67.105.101,LAX,North America,Los Angeles,181 ms
104.25.179.91,LAX,North America,Los Angeles,181 ms
104.24.73.252,LAX,North America,Los Angeles,181 ms
104.24.230.236,LAX,North America,Los Angeles,181 ms
104.20.21.17,HKG,Asia Pacific,Hong Kong,181 ms
172.64.52.209,LAX,North America,Los Angeles,181 ms
162.159.142.204,LAX,North America,Los Angeles,181 ms
104.18.15.149,LAX,North America,Los Angeles,181 ms
104.19.93.238,LAX,North America,Los Angeles,181 ms
104.18.23.141,LAX,North America,Los Angeles,181 ms
104.20.9.195,LAX,North America,Los Angeles,181 ms
104.17.37.98,SJC,North America,San Jose,182 ms
104.17.36.154,SJC,North America,San Jose,182 ms
162.159.251.89,LAX,North America,Los Angeles,182 ms
104.25.248.83,LAX,North America,Los Angeles,182 ms
104.25.28.143,LAX,North America,Los Angeles,182 ms
104.25.112.180,LAX,North America,Los Angeles,182 ms
172.67.115.67,LAX,North America,Los Angeles,182 ms
104.16.128.82,SJC,North America,San Jose,182 ms
104.20.38.3,LAX,North America,Los Angeles,182 ms
104.27.50.194,LAX,North America,Los Angeles,182 ms
104.18.192.145,SJC,North America,San Jose,182 ms
104.16.93.18,SJC,North America,San Jose,182 ms
172.66.47.212,LAX,North America,Los Angeles,182 ms
162.159.130.172,LAX,North America,Los Angeles,182 ms
104.18.14.173,LAX,North America,Los Angeles,182 ms
104.18.71.82,SJC,North America,San Jose,182 ms
104.27.47.251,LAX,North America,Los Angeles,182 ms
104.25.62.212,LAX,North America,Los Angeles,182 ms
104.18.137.182,SJC,North America,San Jose,182 ms
1.0.0.166,LAX,North America,Los Angeles,182 ms
104.17.187.106,SJC,North America,San Jose,182 ms
104.25.73.214,LAX,North America,Los Angeles,182 ms
172.64.82.171,LAX,North America,Los Angeles,182 ms
104.25.167.253,LAX,North America,Los Angeles,182 ms
104.16.200.91,SJC,North America,San Jose,182 ms
104.25.119.5,LAX,North America,Los Angeles,182 ms
104.25.175.58,LAX,North America,Los Angeles,182 ms
104.19.231.28,SJC,North America,San Jose,182 ms
162.159.40.129,LAX,North America,Los Angeles,182 ms
104.20.56.242,LAX,North America,Los Angeles,182 ms
104.19.107.122,LAX,North America,Los Angeles,182 ms
104.24.66.89,LAX,North America,Los Angeles,182 ms
104.25.235.41,LAX,North America,Los Angeles,182 ms
104.25.77.71,LAX,North America,Los Angeles,182 ms
162.159.253.218,LAX,North America,Los Angeles,182 ms
104.24.255.5,LAX,North America,Los Angeles,182 ms
104.25.148.83,LAX,North America,Los Angeles,182 ms
104.24.39.59,LAX,North America,Los Angeles,182 ms
104.25.241.196,LAX,North America,Los Angeles,182 ms
104.27.104.144,LAX,North America,Los Angeles,182 ms
104.27.51.83,LAX,North America,Los Angeles,182 ms
104.23.101.235,LAX,North America,Los Angeles,182 ms
104.20.18.203,HKG,Asia Pacific,Hong Kong,182 ms
104.24.25.93,LAX,North America,Los Angeles,182 ms
104.19.115.123,LAX,North America,Los Angeles,182 ms
104.24.45.9,LAX,North America,Los Angeles,182 ms
104.25.32.245,LAX,North America,Los Angeles,182 ms
104.27.118.21,LAX,North America,Los Angeles,182 ms
104.24.200.13,LAX,North America,Los Angeles,182 ms
162.159.41.121,LAX,North America,Los Angeles,182 ms
104.19.127.66,LAX,North America,Los Angeles,182 ms
104.25.87.31,LAX,North America,Los Angeles,182 ms
104.19.188.16,SJC,North America,San Jose,182 ms
104.24.130.167,LAX,North America,Los Angeles,182 ms
104.17.183.133,SJC,North America,San Jose,182 ms
104.25.10.208,LAX,North America,Los Angeles,182 ms
104.24.78.118,LAX,North America,Los Angeles,182 ms
162.159.252.240,LAX,North America,Los Angeles,182 ms
104.25.172.31,LAX,North America,Los Angeles,182 ms
162.159.254.59,LAX,North America,Los Angeles,182 ms
104.25.83.73,LAX,North America,Los Angeles,182 ms
104.24.248.170,LAX,North America,Los Angeles,183 ms
104.25.162.228,LAX,North America,Los Angeles,183 ms
172.66.2.238,LAX,North America,Los Angeles,183 ms
104.25.199.125,LAX,North America,Los Angeles,183 ms
104.27.2.237,LAX,North America,Los Angeles,183 ms
104.17.176.85,SJC,North America,San Jose,183 ms
172.65.222.108,CDG,Europe,Paris,183 ms
104.21.233.167,SJC,North America,San Jose,183 ms
104.25.84.132,LAX,North America,Los Angeles,183 ms
104.23.103.217,LAX,North America,Los Angeles,183 ms
104.23.113.181,LAX,North America,Los Angeles,183 ms
104.18.109.65,SJC,North America,San Jose,183 ms
104.19.102.33,LAX,North America,Los Angeles,183 ms
104.20.5.21,LAX,North America,Los Angeles,183 ms
104.24.194.87,LAX,North America,Los Angeles,183 ms
104.19.51.30,LAX,North America,Los Angeles,183 ms
104.19.196.76,LAX,North America,Los Angeles,183 ms
104.25.69.153,LAX,North America,Los Angeles,183 ms
104.25.118.62,LAX,North America,Los Angeles,183 ms
104.19.172.30,SJC,North America,San Jose,183 ms
104.24.210.15,LAX,North America,Los Angeles,183 ms
104.24.186.237,LAX,North America,Los Angeles,183 ms
8.47.69.59,LAX,North America,Los Angeles,183 ms
104.25.155.151,LAX,North America,Los Angeles,183 ms
104.24.169.189,LAX,North America,Los Angeles,183 ms
104.24.54.130,LAX,North America,Los Angeles,183 ms
104.25.63.121,LAX,North America,Los Angeles,183 ms
172.64.153.201,LAX,North America,Los Angeles,183 ms
162.159.12.121,LAX,North America,Los Angeles,183 ms
172.64.148.98,LAX,North America,Los Angeles,183 ms
172.64.146.225,LAX,North America,Los Angeles,183 ms
104.19.71.85,LAX,North America,Los Angeles,183 ms
172.64.147.37,LAX,North America,Los Angeles,183 ms
104.25.43.99,LAX,North America,Los Angeles,183 ms
104.17.199.35,SJC,North America,San Jose,183 ms
104.25.120.45,LAX,North America,Los Angeles,183 ms
104.25.0.229,LAX,North America,Los Angeles,183 ms
104.25.5.55,LAX,North America,Los Angeles,183 ms
104.24.202.215,LAX,North America,Los Angeles,183 ms
104.19.160.219,SJC,North America,San Jose,184 ms
104.24.218.55,LAX,North America,Los Angeles,184 ms
104.16.119.1,SJC,North America,San Jose,184 ms
104.27.60.33,LAX,North America,Los Angeles,184 ms
104.27.17.119,LAX,North America,Los Angeles,184 ms
104.19.69.131,LAX,North America,Los Angeles,184 ms
104.19.106.203,LAX,North America,Los Angeles,184 ms
104.27.73.75,LAX,North America,Los Angeles,184 ms
104.25.210.86,LAX,North America,Los Angeles,184 ms
104.24.83.233,LAX,North America,Los Angeles,184 ms
104.24.245.114,LAX,North America,Los Angeles,184 ms
104.20.50.40,LAX,North America,Los Angeles,184 ms
23.227.60.53,LAX,North America,Los Angeles,184 ms
104.19.204.247,LAX,North America,Los Angeles,184 ms
104.25.7.121,LAX,North America,Los Angeles,184 ms
104.17.78.187,SJC,North America,San Jose,184 ms
104.25.194.201,LAX,North America,Los Angeles,184 ms
104.27.114.96,LAX,North America,Los Angeles,184 ms
104.25.65.157,LAX,North America,Los Angeles,184 ms
104.19.49.116,LAX,North America,Los Angeles,184 ms
104.25.100.211,LAX,North America,Los Angeles,184 ms
104.18.212.134,SJC,North America,San Jose,184 ms
104.19.16.45,LAX,North America,Los Angeles,184 ms
198.41.199.184,LAX,North America,Los Angeles,184 ms
104.25.249.164,LAX,North America,Los Angeles,184 ms
198.41.200.223,LAX,North America,Los Angeles,184 ms
104.19.37.195,LAX,North America,Los Angeles,184 ms
104.19.85.57,LAX,North America,Los Angeles,184 ms
104.25.14.194,LAX,North America,Los Angeles,184 ms
162.159.194.219,LAX,North America,Los Angeles,184 ms
162.159.248.165,LAX,North America,Los Angeles,184 ms
198.41.194.57,LAX,North America,Los Angeles,184 ms
104.24.153.35,LAX,North America,Los Angeles,184 ms
198.41.222.1,LAX,North America,Los Angeles,184 ms
162.159.14.216,LAX,North America,Los Angeles,184 ms
104.25.20.199,LAX,North America,Los Angeles,184 ms
104.19.184.16,SJC,North America,San Jose,184 ms
104.16.64.140,SJC,North America,San Jose,184 ms
104.27.86.231,LAX,North America,Los Angeles,184 ms
172.67.126.32,LAX,North America,Los Angeles,184 ms
104.18.136.194,SJC,North America,San Jose,184 ms
104.25.149.54,LAX,North America,Los Angeles,184 ms
104.25.29.216,LAX,North America,Los Angeles,184 ms
104.27.103.88,LAX,North America,Los Angeles,184 ms
104.25.136.243,LAX,North America,Los Angeles,184 ms
104.24.35.107,LAX,North America,Los Angeles,184 ms
104.25.76.193,LAX,North America,Los Angeles,184 ms
104.20.13.251,LAX,North America,Los Angeles,184 ms
104.18.47.184,LAX,North America,Los Angeles,184 ms
104.24.13.116,LAX,North America,Los Angeles,185 ms
104.19.66.47,LAX,North America,Los Angeles,185 ms
104.25.48.52,LAX,North America,Los Angeles,185 ms
104.27.35.254,LAX,North America,Los Angeles,185 ms
162.159.8.10,LAX,North America,Los Angeles,185 ms
172.64.40.141,LAX,North America,Los Angeles,185 ms
104.24.160.39,LAX,North America,Los Angeles,185 ms
104.20.51.123,LAX,North America,Los Angeles,185 ms
104.27.44.107,LAX,North America,Los Angeles,185 ms
104.25.115.124,LAX,North America,Los Angeles,185 ms
104.19.80.2,LAX,North America,Los Angeles,185 ms
104.25.202.135,LAX,North America,Los Angeles,185 ms
172.64.81.126,LAX,North America,Los Angeles,185 ms
198.41.219.229,SJC,North America,San Jose,185 ms
104.19.121.42,LAX,North America,Los Angeles,185 ms
104.19.26.176,LAX,North America,Los Angeles,185 ms
104.24.167.168,LAX,North America,Los Angeles,185 ms
104.18.126.131,SJC,North America,San Jose,185 ms
104.19.112.35,LAX,North America,Los Angeles,185 ms
104.25.127.220,LAX,North America,Los Angeles,185 ms
104.19.13.116,LAX,North America,Los Angeles,185 ms
172.64.50.72,LAX,North America,Los Angeles,185 ms
173.245.59.95,LAX,North America,Los Angeles,185 ms
104.25.37.173,LAX,North America,Los Angeles,185 ms
104.24.16.165,LAX,North America,Los Angeles,185 ms
104.20.42.179,LAX,North America,Los Angeles,185 ms
172.64.155.22,LAX,North America,Los Angeles,185 ms
104.18.38.99,LAX,North America,Los Angeles,185 ms
104.27.43.207,LAX,North America,Los Angeles,185 ms
104.20.14.165,LAX,North America,Los Angeles,185 ms
104.24.90.113,LAX,North America,Los Angeles,185 ms
